param N := 5;
param M := 5;
param alpha:= 0.8;
param K := 3;


param q :=
  [*, *,1]:	1	2	3	4	5 :=
		1	1	0.1	0.2	0.1	0.3 
		2	0.1	1 0.3	0.2	0.3
		3	0.2	0.3	1	0.1	0.3
		4	0.1	0.2	0.1	1	0.1
		5	0.3	0.3	0.3	0.1	1 
  [*,*,2]:	1	2	3	4	5 :=
		1 	1	0.6	0.2	0.1	0.3 
		2	0.1	1	0.3	0.2	0.3
		3	0.2	0.3	1	0.1	0.3
		4	0.1	0.2	0.1	1	0.1
		5   0.3	0.3 0.3	0.1	1
  [*,*, 3]:	1	2	3	4	5 :=
		1 	1	0.1	0.2	0.1	0.3 
		2	0.1	1	0.3	0.2	0.4
		3	0.2	0.0	1	0.1	0.3
		4	0.1	0.2	0.1	1	0.1
		5       0.1	0.3	0.3	0.1	1
  [*,*, 4]:	1	2	3	4	5 :=
		1 	1	0.6	0.7	0.2	0.1 
		2	0.2	1	0.4	0.3	0.5
		3	0.3	0.4	1	0.7	0.4
		4	0.1	0.3	0.6	1	0.7
		5       0.2	0.5	0.3	0.3	1
  [*,*, 5]:	1	2	3	4	5 :=
		1 	1	0.7	0.3	0.4	0.5 
		2	0.9	1	0.8	0.3	0.2
		3	0.9	0.4	1	0.3	0.2
		4	0.4	0.5	0.6	1	0.4
		5       0.2	0.3	0.4	0.6	1  ;
		
  

param r :	1	2	3	4	5:=	
	1	0.1	0.2	0.8	0.3	0.4		
	2	0.5	0.1	0.2	0.9	0.5
	3	0.9	0.2	0.5	0.6	0.4
	4	0.7	0.6	0.7	0.7	0.8
	5	0.2	0.8	0.6	0.6	0.8;
